1、您的性别？,,
答案选项,答案数量,比例
男,35,66.04%
女,18,33.96%
 ,,
2、您的年龄？,,
答案选项,答案数量,比例
20岁（含）以下,30,56.6%
21-25岁,18,33.96%
26-30岁,2,3.77%
31-35岁,2,3.77%
36-40岁,0,0%
41-45岁,0,0%
46岁以上,1,1.89%
 ,,
3、您所在的居住地是？,,
答案选项,答案数量,比例
市北区,32,60.38%
市南区,1,1.89%
李沧区,1,1.89%
崂山区,12,22.64%
黄岛区,2,3.77%
其他,5,9.43%
 ,,
4、请问您的家庭情况是什么？,,
答案选项,答案数量,比例
未婚,50,94.34%
两口之家,1,1.89%
已婚有孩,0,0%
已婚2孩,1,1.89%
已婚3孩及以上,1,1.89%
 ,,
5、请问您逛崂山万象汇的频率大概为？,,
答案选项,答案数量,比例
三个月及以上才来1次,33,62.26%
两个月1次,5,9.43%
一个月1次,7,13.21%
一周1次,1,1.89%
一周2次及以上,7,13.21%
 ,,
6、请问您平时到达万象汇的交通工具是？,,
答案选项,答案数量,比例
步行,6,11.32%
自行车,2,3.77%
电动车/摩托车,5,9.43%
公交车,5,9.43%
自驾/其他人驾车,4,7.55%
出租车/网约车,1,1.89%
地铁,30,56.6%
其他,0,0%
 ,,
7、请问您从住所到达崂山万象汇的用时是？,,
答案选项,答案数量,比例
15分钟内,10,18.87%
30分钟内,15,28.3%
1小时内,13,24.53%
1小时以上,15,28.3%
 ,,
8、从距离方面来看，您到访万象汇是因为居住场所离万象汇近还是工作场所近？,,
答案选项,答案数量,比例
居住场所,32,60.38%
工作场所,21,39.62%
 ,,
9、请问您平均每次在崂山万象汇消费_______元？,,
答案选项,答案数量,比例
500元以下,33,62.26%
501-1000元,9,16.98%
1001-2000元,3,5.66%
2001-5000元,4,7.55%
5001-8000元,1,1.89%
8000元以上,3,5.66%
 ,,
10、请问您的个人月收入水平（税前）属于下列哪个范围？,,
答案选项,答案数量,比例
3000元以下,29,54.72%
3001—5000元,5,9.43%
5001—8000元,5,9.43%
8001—10000元,5,9.43%
10001-15000元,1,1.89%
15001—20000元,1,1.89%
20001—50000元,2,3.77%
50000元以上,5,9.43%
 ,,
11、综合考虑崂山万象汇的购物环境、品牌品类以及您今年在崂山万象汇的购物体验，您对崂山万象汇的总体满意度如何？,,
答案选项,答案数量,比例
非常满意,28,52.83%
比较满意,17,32.08%
一般,6,11.32%
不太满意,0,0%
非常不满意,2,3.77%
 ,,
12、请问您平时在以下哪些渠道接触过崂山商场/购物中心的广告/促销？(最多3项),,
答案选项,答案数量,比例
广播电台,22,21.57%
亲人或朋友介绍,21,20.59%
网络广告（网站/社会媒体站点/贴吧/地方头条）,18,17.65%
微信朋友圈,10,9.8%
商场微信公众号,5,4.9%
店内广告/营业员介绍,5,4.9%
地铁广告,5,4.9%
公交候车厅,0,0%
小区广告,0,0%
手机短信,1,0.98%
写字楼内电视广告,3,2.94%
商场微博/网站,2,1.96%
一点万象/万象汇会员社群,1,0.98%
抖音/快手/小红书推送,7,6.86%
从来没看到/听到过,2,1.96%
 ,,
13、您会因为哪些内容点击购物中心微信公众号？,,
答案选项,答案数量,比例
文末赠礼,13,24.53%
营业时间等信息更改,12,22.64%
折扣力度大的活动,17,32.08%
标题吸引人,11,20.75%
 ,,
14、您平时喜欢使用哪些媒体软件？(最多3项),,
答案选项,答案数量,比例
微信,33,34.38%
微博,15,15.63%
抖音,31,32.29%
小红书,9,9.38%
大众点评,4,4.17%
哔哩哔哩,3,3.13%
快手,1,1.04%
 ,,
15、崂山万象汇最吸引您来的原因是什么？(最多3项),,
答案选项,答案数量,比例
距离近,18,17.31%
交通方便,16,15.38%
停车方便,16,15.38%
有中高端服饰鞋包品牌,11,10.58%
餐饮种类/菜系丰富,12,11.54%
孩子玩的东西多，适合溜娃,3,2.88%
儿童服饰/用品店齐全,1,0.96%
有其他商场没有的牌子,0,0%
有网红店，可以拍照打卡,6,5.77%
有我喜欢的品牌,6,5.77%
商品款式多，有很多新品、爆款发布,5,4.81%
消费档次符合我的要求,3,2.88%
商场环境设施好，上档次,2,1.92%
商场会员权益多,0,0%
冲着商场举办的主题活动/展览,1,0.96%
冲着促销活动,2,1.92%
冲着盒马/万象影城,2,1.92%
 ,,
16、请问您为什么不来(或者不经常来最多3项)万象汇？,,
答案选项,答案数量,比例
距离家/工作单位太远,20,21.74%
交通不便,14,15.22%
不好停车,11,11.96%
商场和店铺员工的服务态度不好,7,7.61%
价格档次太高,6,6.52%
品牌知名度不足，不认识,4,4.35%
品牌丰富度不足，没什么可选择性,3,3.26%
没有喜欢的品牌，不常买,7,7.61%
餐饮种类不丰富，没什么吃的,6,6.52%
休闲品类不丰富，没什么玩儿的,6,6.52%
儿童业态不多，带孩子不方便,1,1.09%
没有特别吸引我的商场主题活动,2,2.17%
商场促销活动少/力度不够,3,3.26%
商场宣传太少，不了解这个商场,2,2.17%
 ,,
17、如果万象汇通过举办活动吸引您到访，以下哪些活动您会比较感兴趣参与？(最多3项),,
答案选项,答案数量,比例
艺术展览（如梵高新媒体展、安徒生插画展等）,17,15.89%
动漫IP展（如哆啦A梦、小猪佩奇、奥特曼、高达展等）,21,19.63%
主题氛围展（如春日花花、超级植物展、露营氛围等）,14,13.08%
游戏互动类（如VR体验，王者荣耀手游赛等）,14,13.08%
走秀类（春季时装秀、儿童时装秀）,4,3.74%
运动体验类（如篮球赛、百人彩虹跑、滑板、飞盘等）,6,5.61%
亲子互动类（如手作DIY、海洋球乐园等）,5,4.67%
美食品鉴类（糖果展、红酒品鉴大赛、米其林美食节）,7,6.54%
文化沙龙类（读书会、英语角、电影分享等）,3,2.8%
潮流活动类（音乐节、乐队演出、随机舞蹈、街舞等）,5,4.67%
创意市集（咖啡市集、手作市集等）,1,0.93%
品牌展示类（3C数码新品发布）,3,2.8%
网红时尚活动（小红书红人节、ELLE展、时尚芭莎、美妆互动等）,4,3.74%
万圣节/圣诞/新年大型主题活动,1,0.93%
讲座沙龙类（作家、行业名人、设计师等）,2,1.87%
 ,,
18、请问以下哪种促销类活动最能促进您消费？(最多3项),,
答案选项,答案数量,比例
直接打折的活动（如新款9折，全场88折等）,28,32.18%
满减活动（如全场满1000-100等）,18,20.69%
满返活动（如满1000返100抵用券等）,16,18.39%
"团购活动（如79团100,69团100活动等）",10,11.49%
拼团活动（如9元拼700等）,8,9.2%
高倍万象星（如倍享20倍万象星，12500万象星抵50元等）,7,8.05%
 ,,
19、您在万象汇消费最多的业态品类有哪些？(最多3项),,
答案选项,答案数量,比例
数码类,15,15.63%
黄金珠宝类,8,8.33%
服装类,21,21.88%
儿童类,9,9.38%
餐饮类,21,21.88%
娱乐类,14,14.58%
精品礼品类,5,5.21%
未购买过,3,3.13%
 ,,
20、请问当您在场内就餐时，您的单次人均支出大约是多少元？,,
答案选项,答案数量,比例
低于50元,7,13.21%
50元-100元,17,32.08%
100元-150元,9,16.98%
150元-200元,10,18.87%
200元以上,10,18.87%
 ,,
21、请问您希望万象汇再引进哪些品类？(最多3项),,
答案选项,答案数量,比例
儿童培训类（如口才、舞蹈、艺术、美术、体适能）,11,13.58%
儿童娱乐体验（如淘气堡、赛车、电玩、儿童DIY）,26,32.1%
化妆品,16,19.75%
网红瑜伽/舞蹈健身KTV 宠物店自拍体验馆网红餐饮/水吧,22,27.16%
家用类（如小家电、锅具等）,6,7.41%
 ,,
22、请问您希望万象汇再引进哪些餐饮类型？(最多3项),,
答案选项,答案数量,比例
西式正餐（如法式餐、意式、西班牙餐等）,16,15.53%
东北菜,10,9.71%
鲁菜,15,14.56%
青岛本地菜,10,9.71%
川菜/湘菜,10,9.71%
健康沙拉、素菜馆,4,3.88%
韩国料理,5,4.85%
日本料理,4,3.88%
粤菜、港式茶餐厅,2,1.94%
火锅-川系火锅、老北京火锅,11,10.68%
自助餐-海鲜/火锅自助,7,6.8%
自助餐-日料/韩式烤肉等自助,4,3.88%
中式快餐/小吃类，如粥品等,2,1.94%
洋快餐品牌（如KFC、麦当劳等）,3,2.91%
 ,,
23、请问除了万象汇之外，您经常去下列哪个商场消费？(最多3项),,
答案选项,答案数量,比例
青岛万象城,27,32.53%
海信广场,11,13.25%
凯德mall,12,14.46%
金狮广场,10,12.05%
崂山丽达,14,16.87%
丽达mall,5,6.02%
金鼎广场,4,4.82%
 ,,
24、请问您去第23题选择的商场最常消费什么品类？(最多3项),,
答案选项,答案数量,比例
服饰,17,16.83%
鞋包,11,10.89%
化妆品/护肤品,17,16.83%
珠宝配饰，手表，眼镜等,11,10.89%
数码/家居/其他日用品,11,10.89%
逛超市/买菜,10,9.9%
工作日午餐/晚餐,7,6.93%
周末陪家人或者朋友吃饭,2,1.98%
饮料/咖啡/甜品/下午茶,5,4.95%
看电影/去书店,6,5.94%
儿童上培训课/早教课,1,0.99%
儿童室内游乐场,0,0%
买童装/童鞋/其他婴童用品,1,0.99%
美容美体/Spa瘦身/健身,0,0%
无明确目的，闲逛休闲,2,1.98%
 ,,
25、您觉得万象汇在以下哪些方面需要进一步提升呢？(最多3项),,
答案选项,答案数量,比例
商场有更好的环境和设施,16,17.78%
有更好的商场服务（诸如便民服务和人性化服务）,14,15.56%
商场员工的服务态度需要更好,17,18.89%
停车更便捷,13,14.44%
内部指引标识更清晰,12,13.33%
会员权益的价值感需要提升,9,10%
有更丰富、吸引人的主题活动,7,7.78%
有更多、更吸引人的促销活动,0,0%
线上商城功能/线上抢购活动,2,2.22%
 ,,
